"image","patch","method","m","sigma2","lambda","converged","resid"
4,2,"corrected",18,0.000336992341954078,1.42699307786701,1,3.50462067672653e-05
4,3,"naive",NA,6.68752966330857e-05,9.76746949130926,1,9.85785993145706e-06
4,3,"corrected",10,7.26717766623923e-05,13.3533754108835,1,9.92186012440625e-06
4,3,"corrected",12,7.49635322157688e-05,14.8339276188055,1,9.94949323553461e-06
4,3,"corrected",15,7.90935193660473e-05,17.3504506603023,1,9.98367461642513e-06
4,3,"corrected",18,8.41251557918494e-05,20.2634667765081,1,9.99468936707825e-06
4,4,"naive",NA,9.69251223109922e-05,2.7237492115729,1,9.28214836105284e-06
4,4,"corrected",10,7.29130179689339e-05,4.4109760403569,1,9.79069490541378e-06
4,4,"corrected",12,7.03218935856901e-05,4.81385267448752,1,9.8777362522271e-06
4,4,"corrected",15,6.73683257116097e-05,5.46869285896232,1,9.99825114066751e-06
4,4,"corrected",18,6.49072169856507e-05,6.43773245989143,1,1.0135166121602e-05
4,5,"naive",NA,0.000537148631246557,1.61384902161147,1,3.84321166029275e-05
4,5,"corrected",10,0.000519595764259573,1.76064355986745,1,3.85397194629332e-05
4,5,"corrected",12,0.000522779688206093,1.735540687611,1,3.84913385895868e-05
4,5,"corrected",15,0.000532019299454292,1.66099840778841,1,3.84384758444237e-05
4,5,"corrected",18,0.000541281105065815,1.58266590664104,1,3.86118118775656e-05
4,6,"naive",NA,0.000184460266768146,0.907288667659429,1,7.16719118522439e-06
4,6,"corrected",10,0.000183851649581323,0.942437686930267,1,7.5569616837296e-06
4,6,"corrected",12,0.000183958427177099,0.937690174235757,1,7.49681897795335e-06
4,6,"corrected",15,0.00018356223302598,0.953635028479415,1,7.71451783056218e-06
4,6,"corrected",18,0.000183381025184293,0.960135816687128,1,7.80981077102847e-06
4,7,"naive",NA,0.000193986104587328,0.805754387094333,1,6.29629392503915e-06
4,7,"corrected",10,0.000194282827965034,0.814153356423134,1,6.27575725096691e-06
4,7,"corrected",12,0.000194435742909451,0.819404146368062,1,6.28193207056362e-06
4,7,"corrected",15,0.000194735660305907,0.831150502497675,1,6.35197086604802e-06
4,7,"corrected",18,0.000194845380484204,0.835984394767177,1,6.39882798609389e-06
